Provinsi/Kabupaten/Kota,,,,,,,
,[Metode Baru] Indeks Pembangunan Manusia,,,,,,
Boalemo,67.27,68.18,,,,,
Gorontalo,68.28,69.09,,,,,
Pohuwato,66.53,67.15,,,,,
Bone Bolango,70.9,71.51,,,,,
Gorontalo Utara,66.01,66.61,,,,,
Kota Gorontalo,78.22,78.64,,,,,
SULAWESI BARAT,66.92,67.55,,,,,
Majene,67.84,68.62,,,,,
Polewali Mandar,64.79,65.59,,,,,
Mamasa,67.21,67.83,,,,,
Mamuju,68.88,69.61,,,,,
Mamuju Utara / Pasangkayu,68.61,69.11,,,,,
Mamuju Tengah,66.89,67.45,,,,,
MALUKU,70.22,70.94,,,,,
Maluku Tenggara Barat / Kepulauan Tanimbar,63.45,64.16,,,,,
Maluku Tenggara,66.88,67.57,,,,,
Maluku Tengah,71.81,72.45,,,,,
Buru,69.94,70.56,,,,,
Kepulauan Aru,64.21,65.01,,,,,
Seram Bagian Barat,66.67,67.56,,,,,
Seram Bagian Timur,65.05,65.82,,,,,
Maluku Barat Daya,63.07,63.93,,,,,
Buru Selatan,65.37,66.23,,,,,
Kota Ambon,81.63,82.06,,,,,
Kota Tual,68.6,69.43,,,,,
MALUKU UTARA,69.47,70.21,,,,,
Halmahera Barat,66.2,66.91,,,,,
Halmahera Tengah,66.49,67.48,,,,,
Kepulauan Sula,64.7,65.29,,,,,
Halmahera Selatan,65.06,65.83,,,,,
Halmahera Utara,68.38,69.05,,,,,
Halmahera Timur,67.93,68.82,,,,,
Pulau Morotai,63.8,64.73,,,,,
Pulau Taliabu,61.64,62.31,,,,,
Kota Ternate,80.81,81.35,,,,,
Kota Tidore Kepulauan,71.55,72.4,,,,,
PAPUA BARAT,65.89,66.66,,,,,
Fakfak,69.12,69.72,,,,,
Kaimana,66.11,66.72,,,,,
Teluk Wondama,60.87,61.67,,,,,
Teluk Bintuni,65.27,66,,,,,
Manokwari,72.6,73.21,,,,,
Sorong Selatan,63.08,63.94,,,,,
Sorong,66.69,67.49,,,,,
Raja Ampat,64.65,65.26,,,,,
Tambrauw,54.63,55.55,,,,,
Maybrat,60.49,61.29,,,,,
Manokwari Selatan,60.68,61.55,,,,,
Pegunungan Arfak,57.01,57.82,,,,,
Kota Sorong,78.98,79.65,,,,,
PAPUA,61.39,62.25,,,,,
Merauke,71.24,72.19,,,,,
Jayawijaya,59.6,60.5,,,,,
Jayapura,72.67,73.5,,,,,
Nabire,69.91,70.84,,,,,
Kepulauan Yapen,68.41,69.11,,,,,
Biak Numfor,72.85,73.46,,,,,
Paniai,57.14,57.91,,,,,
Puncak Jaya,49.84,50.81,,,,,
Mimika,75.08,75.91,,,,,
Boven Digoel,62.52,63.46,,,,,
Mappi,59.61,60.57,,,,,
Asmat,52.22,53.19,,,,,
Yahukimo,50.25,51.19,,,,,
Pegunungan Bintang,47.21,48.18,,,,,
Tolikara,50.51,51.48,,,,,
Sarmi,64.86,65.8,,,,,
Keerom,67.24,68.08,,,,,
Waropen,65.67,66.46,,,,,
Supiori,63.65,64.61,,,,,
Mamberamo Raya,53.1,54.08,,,,,
